ref_no,project_title,procuring_entity,municipality,publish_year,abc_php,contract_amount_php,awardee,duration_days,surface_type,surface_thickness_mm,total_paving_area_sqm,length_m,width_m,scope_flag_ancillary,_synthetic_injected_anomaly
SYN-20240000,"[SYNTHETIC] Concreting of Demo Road, Rapu-Rapu",SYNTHETIC - DPWH Albay Demo DEO,Camalig,2024,34365187.18,32766141.98,Synthetic Builders F,275.0,PCCP,300.0,,2303.0,5.0,False,False
SYN-20220001,"[SYNTHETIC] Concreting of Demo Road, Oas",SYNTHETIC - DPWH Albay Demo DEO,Rapu-Rapu,2022,10863038.17,9817877.09,Synthetic Builders A,79.0,PCCP,300.0,3336.7,547.0,6.1,False,False
SYN-20230002,"[SYNTHETIC] Concreting of Demo Road, Manito",SYNTHETIC - DPWH Albay Demo DEO,Daraga,2023,30483649.73,27458586.15,Synthetic Builders G,152.0,PCCP,280.0,,1761.0,5.0,False,False
SYN-20240003,"[SYNTHETIC] Concreting of Demo Road, Malinao",SYNTHETIC - DPWH Albay Demo DEO,Manito,2024,57942245.29,55860677.77,Synthetic Builders B,189.0,PCCP,300.0,12198.3,1671.0,7.3,True,False
SYN-20220004,"[SYNTHETIC] Concreting of Demo Road, Daraga",SYNTHETIC - DPWH Albay Demo DEO,Polangui,2022,41293104.11,37942213.32,Synthetic Builders D,251.0,PCCP,280.0,13265.0,2653.0,5.0,False,False
SYN-20230005,"[SYNTHETIC] Concreting of Demo Road, Sto. Domingo",SYNTHETIC - DPWH Albay Demo DEO,Libon,2023,32031252.43,31087014.28,Synthetic Builders C,173.0,PCCP,300.0,8542.5,1275.0,6.7,False,False
SYN-20240006,"[SYNTHETIC] Concreting of Demo Road, Guinobatan",SYNTHETIC - DPWH Albay Demo DEO,Libon,2024,57760428.8,56809282.1,Synthetic Builders J,339.0,PCCP,300.0,13979.5,1915.0,7.3,True,False
SYN-20200007,"[SYNTHETIC] Concreting of Demo Road, Libon",SYNTHETIC - DPWH Albay Demo DEO,Sto. Domingo,2020,11074367.65,10521507.42,Synthetic Builders A,96.0,ASPHALT,250.0,3082.0,460.0,6.7,False,True
SYN-20190008,"[SYNTHETIC] Concreting of Demo Road, Guinobatan",SYNTHETIC - DPWH Albay Demo DEO,Sto. Domingo,2019,20750884.63,19351812.6,Synthetic Builders F,171.0,ASPHALT,300.0,9833.1,1347.0,7.3,False,False
SYN-20200009,"[SYNTHETIC] Concreting of Demo Road, Legazpi City",SYNTHETIC - DPWH Albay Demo DEO,Rapu-Rapu,2020,30745039.18,27641682.42,Synthetic Builders E,207.0,PCCP,300.0,8555.6,1172.0,7.3,False,False
SYN-20200010,"[SYNTHETIC] Concreting of Demo Road, Camalig",SYNTHETIC - DPWH Albay Demo DEO,Camalig,2020,19470809.59,19135776.92,Synthetic Builders F,125.0,PCCP,230.0,5153.8,706.0,7.3,True,False
SYN-20240011,"[SYNTHETIC] Concreting of Demo Road, Polangui",SYNTHETIC - DPWH Albay Demo DEO,Sto. Domingo,2024,46437434.42,42780414.0,Synthetic Builders F,310.0,PCCP,200.0,16776.8,2504.0,6.7,True,False
SYN-20240012,"[SYNTHETIC] Concreting of Demo Road, Rapu-Rapu",SYNTHETIC - DPWH Albay Demo DEO,Malinao,2024,24224681.01,22917127.34,Synthetic Builders B,214.0,PCCP,200.0,,1325.0,6.7,False,False
SYN-20190013,"[SYNTHETIC] Concreting of Demo Road, Sto. Domingo",SYNTHETIC - DPWH Albay Demo DEO,Manito,2019,44565781.53,43872373.59,Synthetic Builders D,455.0,PCCP,200.0,19718.1,2943.0,6.7,True,False
SYN-20210014,"[SYNTHETIC] Concreting of Demo Road, Ligao City",SYNTHETIC - DPWH Albay Demo DEO,Tabaco City,2021,47165428.23,42235718.81,Synthetic Builders F,189.0,ASPHALT,250.0,13818.9,1893.0,7.3,True,False
SYN-20230015,"[SYNTHETIC] Concreting of Demo Road, Camalig",SYNTHETIC - DPWH Albay Demo DEO,Manito,2023,26924911.6,24850118.68,Synthetic Builders B,213.0,PCCP,,11797.4,1934.0,6.1,False,False
SYN-20190016,"[SYNTHETIC] Concreting of Demo Road, Camalig",SYNTHETIC - DPWH Albay Demo DEO,Legazpi City,2019,32146935.24,31657415.33,Synthetic Builders I,302.0,PCCP,230.0,14767.9,2023.0,7.3,False,False
SYN-20230017,"[SYNTHETIC] Concreting of Demo Road, Rapu-Rapu",SYNTHETIC - DPWH Albay Demo DEO,Malinao,2023,38697153.14,34903472.07,Synthetic Builders I,232.0,PCCP,230.0,15519.8,2126.0,7.3,False,False
